episode,total_reward,emergency_rejections,icu_utilisation
0,184.0,1,0.92
1,97.0,1,0.92
2,193.0,0,0.84
3,163.0,0,0.62
4,181.0,0,0.98
5,139.0,0,1.0
6,157.0,0,0.98
7,127.0,0,0.78
8,106.0,2,0.9
9,73.0,1,0.9
10,133.0,1,0.68
11,163.0,0,0.68
12,115.0,1,0.9
13,127.0,0,0.94
14,187.0,0,0.66
15,118.0,0,0.64
16,151.0,0,0.66
17,124.0,0,0.88
18,160.0,0,0.64
19,175.0,0,0.9
20,166.0,0,1.0
21,127.0,0,0.84
22,154.0,0,0.6
23,118.0,0,0.64
24,109.0,3,0.84
25,112.0,0,0.94
26,124.0,0,0.86
27,130.0,2,0.92
28,106.0,3,0.94
29,160.0,1,0.7
30,139.0,0,0.84
31,154.0,1,0.76
32,100.0,1,0.98
33,94.0,2,0.92
34,127.0,0,0.84
35,124.0,0,0.62
36,187.0,0,0.78
37,178.0,0,0.88
38,145.0,2,0.78
39,148.0,0,0.9
40,109.0,2,0.74
41,130.0,1,0.78
42,100.0,1,0.86
43,139.0,0,0.92
44,130.0,1,0.86
45,196.0,0,0.8
46,112.0,2,0.88
47,145.0,0,0.84
48,142.0,0,0.84
49,79.0,3,0.96
50,94.0,1,0.92
51,154.0,0,0.74
52,169.0,0,0.9
53,133.0,0,0.68
54,115.0,0,0.88
55,130.0,0,0.98
56,136.0,0,0.86
57,121.0,1,0.86
58,133.0,1,0.9
59,154.0,0,0.72
60,94.0,3,0.78
61,130.0,0,0.8
62,145.0,0,1.0
63,94.0,3,0.92
64,163.0,0,0.76
65,103.0,0,0.88
66,166.0,0,0.74
67,94.0,1,0.88
68,166.0,0,0.84
69,142.0,0,0.9
70,136.0,1,1.0
71,115.0,0,0.68
72,178.0,0,0.7
73,52.0,3,0.92
74,109.0,1,0.84
75,106.0,2,0.74
76,184.0,0,0.66
77,160.0,0,0.8
78,160.0,0,0.74
79,124.0,1,0.86
80,73.0,1,0.92
81,142.0,0,0.84
82,145.0,1,0.76
83,118.0,0,0.68
84,70.0,2,0.82
85,160.0,0,0.66
86,157.0,2,0.88
87,187.0,0,0.82
88,169.0,2,0.84
89,157.0,0,0.94
90,67.0,3,0.76
91,145.0,0,0.9
92,151.0,0,0.92
93,199.0,0,0.78
94,139.0,0,0.64
95,127.0,0,0.96
96,136.0,0,0.9
97,133.0,1,0.78
98,124.0,0,0.88
99,157.0,0,0.96
100,166.0,0,0.6
101,100.0,2,0.92
102,184.0,0,0.52
103,106.0,2,0.86
104,97.0,1,0.86
105,157.0,0,0.88
106,79.0,0,1.0
107,172.0,0,0.78
108,163.0,0,0.88
109,97.0,2,0.82
110,136.0,0,0.86
111,79.0,2,0.88
112,109.0,0,0.94
113,100.0,1,0.92
114,151.0,1,0.76
115,139.0,0,0.86
116,151.0,1,0.52
117,133.0,0,0.58
118,142.0,0,0.84
119,109.0,0,0.92
120,109.0,1,0.92
121,139.0,0,0.84
122,154.0,0,0.84
123,163.0,0,0.74
124,115.0,0,0.7
125,151.0,0,0.74
126,172.0,0,0.88
127,151.0,0,0.86
128,187.0,0,0.82
129,94.0,2,0.94
