combination,learning_rate,batch_size,n_steps,seed,mean_reward,std_reward,emergency_rejections,icu_utilisation,delayed_patients,rank
"lr=0.0001, batch=64, steps=256",0.0001,64,256,46,134.92,30.684671921157815,0.64,0.8260000000000001,15.16,1
"lr=0.0003, batch=32, steps=256",0.0003,32,256,52,134.17,29.359511390534227,0.38,0.7342,16.42,2
"lr=0.0001, batch=64, steps=128",0.0001,64,128,45,134.05,33.36131401379857,1.36,0.8235999999999999,14.02,3
"lr=0.0003, batch=32, steps=512",0.0003,32,512,53,133.63,32.034909935029546,1.03,0.7739999999999999,14.99,4
"lr=0.0001, batch=64, steps=512",0.0001,64,512,47,132.91,31.508887635078455,1.04,0.7739999999999999,15.12,5
"lr=0.0001, batch=32, steps=512",0.0001,32,512,44,132.28,32.83601127365558,1.28,0.8268,14.42,6
"lr=0.0003, batch=128, steps=512",0.0003,128,512,59,132.1,32.22788177396032,1.1,0.7774,15.1,7
"lr=0.001, batch=64, steps=512",0.001,64,512,65,132.07,28.940990119394826,0.41,0.7428,16.68,8
"lr=0.0001, batch=32, steps=128",0.0001,32,128,42,131.86,33.62298997033807,1.4,0.83,13.74,9
"lr=0.001, batch=128, steps=512",0.001,128,512,68,131.15,32.504040152919856,1.04,0.7786000000000002,16.24,10
"lr=0.0003, batch=64, steps=256",0.0003,64,256,55,130.55,34.96878117071935,1.43,0.8269999999999998,15.6,11
"lr=0.0001, batch=32, steps=256",0.0001,32,256,43,130.26,34.37365093771505,1.39,0.8268,15.2,12
"lr=0.0003, batch=64, steps=512",0.0003,64,512,56,129.97,32.9531209723477,1.11,0.7724,14.93,13
"lr=0.001, batch=32, steps=256",0.001,32,256,61,129.96,30.52897944344989,0.34,0.7598,17.22,14
"lr=0.0003, batch=128, steps=256",0.0003,128,256,58,129.73,31.516503613186536,0.72,0.8300000000000002,15.03,15
"lr=0.0003, batch=64, steps=128",0.0003,64,128,54,129.7,33.75984704833943,1.48,0.8265999999999998,13.91,16
"lr=0.001, batch=32, steps=512",0.001,32,512,62,128.98,28.977169696786532,0.4,0.8277999999999999,16.48,17
"lr=0.0003, batch=128, steps=128",0.0003,128,128,57,128.89,33.55498879045071,1.52,0.8278,13.95,18
"lr=0.0001, batch=128, steps=512",0.0001,128,512,50,128.11,32.12661032398362,1.09,0.8238000000000001,15.38,19
"lr=0.0001, batch=128, steps=128",0.0001,128,128,48,128.05,30.173362725785438,0.93,0.8001999999999998,15.83,20
"lr=0.001, batch=128, steps=256",0.001,128,256,67,127.54,28.681257738365407,0.26,0.7714000000000002,17.38,21
"lr=0.001, batch=32, steps=128",0.001,32,128,60,127.07,32.04298092036111,1.49,0.8024000000000001,14.24,22
"lr=0.001, batch=64, steps=256",0.001,64,256,64,127.03,28.529076077191522,0.36,0.8188000000000001,17.53,23
"lr=0.001, batch=128, steps=128",0.001,128,128,66,124.91,32.429284371513425,0.77,0.8683999999999998,15.58,24
"lr=0.0003, batch=32, steps=128",0.0003,32,128,51,124.34,30.540326048546287,1.13,0.7068000000000001,15.51,25
"lr=0.001, batch=64, steps=128",0.001,64,128,63,121.2,31.024916672659323,0.75,0.7035999999999999,17.89,26
"lr=0.0001, batch=128, steps=256",0.0001,128,256,49,119.21,29.966747564524912,1.13,0.7993999999999999,15.03,27
