episode,total_reward,steps,emergency_delays,emergency_rejections,unsafe_discharges,icu_admissions,general_admissions,successful_discharges,queue_congestion_events,most_common_action
0,-225382.0,500,0,0,0,0,0,0,0,2: move_to_assessment
1,-216469.0,500,0,0,0,0,0,0,0,2: move_to_assessment
2,-235499.0,500,0,0,0,0,0,0,0,2: move_to_assessment
3,-220353.0,500,0,0,0,0,0,0,0,2: move_to_assessment
4,-273377.0,500,0,0,0,0,0,0,0,2: move_to_assessment
5,-194244.0,500,0,0,0,0,0,0,0,2: move_to_assessment
6,-259905.0,500,0,0,0,0,0,0,0,2: move_to_assessment
7,-211296.0,500,0,0,0,0,0,0,0,2: move_to_assessment
8,-228837.0,500,0,0,0,0,0,0,0,2: move_to_assessment
9,-257701.0,500,0,0,0,0,0,0,0,2: move_to_assessment
10,-212940.0,500,0,0,0,0,0,0,0,2: move_to_assessment
11,-231430.0,500,0,0,0,0,0,0,0,2: move_to_assessment
12,-250251.0,500,0,0,0,0,0,0,0,2: move_to_assessment
13,-244289.0,500,0,0,0,0,0,0,0,2: move_to_assessment
14,-251816.0,500,0,0,0,0,0,0,0,2: move_to_assessment
15,-232145.0,500,0,0,0,0,0,0,0,2: move_to_assessment
16,-254996.0,500,0,0,0,0,0,0,0,2: move_to_assessment
17,-225702.0,500,0,0,0,0,0,0,0,2: move_to_assessment
18,-263520.0,500,0,0,0,0,0,0,0,2: move_to_assessment
19,-253126.0,500,0,0,0,0,0,0,0,2: move_to_assessment
