episode,total_reward,steps,emergency_rejections,mean_icu_utilisation,mean_general_utilisation,delayed_patients
0,1180.0,500,20,0.58,0.7673333333333333,145
1,1072.0,500,16,0.534,0.786,165
2,1319.0,500,14,0.576,0.7046666666666668,131
3,1173.0,500,14,0.498,0.7686666666666667,159
4,1229.0,500,16,0.584,0.7373333333333333,138
5,1155.0,500,12,0.584,0.704,160
6,1235.0,500,10,0.529,0.778,157
7,1194.0,500,17,0.59,0.7433333333333333,145
8,1337.0,500,16,0.53,0.6953333333333332,132
9,1285.0,500,11,0.611,0.724,142
10,1295.0,500,10,0.56,0.712,142
11,1240.0,500,16,0.576,0.7506666666666666,141
12,1304.0,500,8,0.459,0.7446666666666667,153
13,1253.0,500,7,0.535,0.714,154
14,1203.0,500,14,0.594,0.74,149
15,1078.0,500,16,0.563,0.7953333333333333,170
16,1231.0,500,8,0.568,0.766,166
17,1263.0,500,12,0.547,0.72,146
18,1273.0,500,13,0.554,0.75,141
19,1284.0,500,6,0.518,0.7346666666666667,160
20,1245.0,500,11,0.577,0.7433333333333333,155
21,1269.0,500,5,0.509,0.7426666666666667,165
22,1153.0,500,15,0.613,0.752,156
23,1127.0,500,14,0.595,0.7506666666666667,162
24,1368.0,500,8,0.486,0.7460000000000001,142
25,1370.0,500,9,0.562,0.724,134
26,1109.0,500,17,0.609,0.74,148
27,1118.0,500,17,0.576,0.7546666666666667,162
28,1136.0,500,12,0.573,0.7773333333333332,166
29,1197.0,500,16,0.643,0.72,135
30,1091.0,500,18,0.601,0.7726666666666667,163
31,1257.0,500,7,0.515,0.7606666666666667,159
32,1100.0,500,20,0.596,0.7473333333333333,156
33,1310.0,500,9,0.475,0.7413333333333333,148
34,1118.0,500,23,0.649,0.71,138
35,1191.0,500,8,0.509,0.7446666666666667,165
36,1239.0,500,11,0.531,0.732,158
37,1262.0,500,11,0.545,0.7693333333333332,151
38,1236.0,500,16,0.586,0.7213333333333333,138
39,1285.0,500,14,0.575,0.7166666666666668,136
40,1138.0,500,14,0.523,0.774,164
41,1210.0,500,16,0.557,0.7453333333333334,145
42,1238.0,500,12,0.62,0.7333333333333334,147
43,982.0,500,17,0.57,0.8126666666666668,184
44,1244.0,500,4,0.54,0.7226666666666667,164
45,1229.0,500,12,0.608,0.7433333333333333,145
46,1207.0,500,11,0.591,0.7633333333333334,157
47,1039.0,500,20,0.613,0.764,160
48,1269.0,500,11,0.579,0.7093333333333334,140
49,1301.0,500,14,0.57,0.6993333333333334,130
50,1151.0,500,16,0.567,0.7473333333333333,154
51,1153.0,500,14,0.567,0.7753333333333332,165
52,1156.0,500,10,0.56,0.768,166
53,1204.0,500,14,0.587,0.742,148
54,1157.0,500,8,0.563,0.758,173
55,1166.0,500,6,0.505,0.7720000000000001,184
56,1207.0,500,11,0.55,0.7286666666666666,156
57,1135.0,500,15,0.585,0.7753333333333333,166
58,1198.0,500,10,0.537,0.7346666666666667,158
59,1260.0,500,12,0.592,0.7093333333333334,136
60,1239.0,500,6,0.556,0.772,165
61,1135.0,500,14,0.548,0.7686666666666667,166
62,1214.0,500,13,0.585,0.7553333333333334,155
63,1179.0,500,18,0.534,0.6973333333333335,144
64,1099.0,500,18,0.6,0.74,162
65,1208.0,500,10,0.575,0.7226666666666668,154
66,1128.0,500,16,0.554,0.76,157
67,1378.0,500,10,0.556,0.7073333333333333,136
68,1340.0,500,10,0.568,0.7186666666666667,133
69,1096.0,500,17,0.576,0.7813333333333332,166
70,1209.0,500,10,0.52,0.7493333333333334,160
71,1157.0,500,18,0.529,0.78,157
72,1226.0,500,10,0.591,0.7533333333333334,158
73,1098.0,500,18,0.608,0.7606666666666666,159
74,1334.0,500,10,0.533,0.7266666666666668,140
75,1184.0,500,15,0.563,0.764,155
76,1010.0,500,16,0.593,0.7633333333333334,178
77,1168.0,500,16,0.63,0.7473333333333334,147
78,1230.0,500,15,0.591,0.7313333333333333,139
79,1259.0,500,9,0.549,0.78,158
80,1360.0,500,5,0.543,0.7153333333333334,142
81,1231.0,500,7,0.546,0.7493333333333333,158
82,1010.0,500,20,0.59,0.7513333333333334,163
83,1116.0,500,19,0.622,0.7346666666666666,149
84,1053.0,500,19,0.612,0.744,161
85,1350.0,500,13,0.542,0.7373333333333334,129
86,1163.0,500,11,0.554,0.768,168
87,1194.0,500,13,0.578,0.7286666666666668,154
88,1207.0,500,14,0.628,0.7326666666666667,138
89,1231.0,500,18,0.612,0.7346666666666667,134
90,1091.0,500,16,0.571,0.7693333333333334,173
91,1123.0,500,15,0.546,0.7746666666666667,172
92,1197.0,500,14,0.548,0.7206666666666667,148
93,1328.0,500,5,0.491,0.7513333333333334,158
94,1298.0,500,12,0.555,0.742,142
95,1213.0,500,12,0.549,0.7566666666666666,158
96,1116.0,500,18,0.64,0.7413333333333334,152
97,1178.0,500,14,0.6,0.7606666666666666,156
98,1366.0,500,8,0.489,0.7673333333333333,150
99,1123.0,500,18,0.555,0.7606666666666667,154
