metric,ppo_mean,random_mean,ppo_std,random_std
total_reward,-242696.55,-182307.8450000001,17410.52152390073,27306.446095776602
emergency_delays,0.0,32.55,0.0,4.762518130922802
emergency_rejections,0.0,32.3,0.0,4.758372123232681
unsafe_discharges,0.0,0.0,0.0,0.0
icu_admissions,0.0,0.1,0.0,0.30779350562554625
general_admissions,0.0,0.45,0.0,0.6863327411532597
successful_discharges,0.0,2.65,0.0,1.4964871146156007
queue_congestion_events,0.0,6.3,0.0,18.11687204325236
invalid_actions,500.0,264.55,0.0,21.8137450632442
invalid_action_rate,1.0,0.5291,0.0,0.04362749012648839
