episode,total_reward,emergency_rejections,icu_utilisation
0,-68.0,5,0.46
1,-78.0,7,0.84
2,-20.0,4,0.58
3,-101.0,6,0.4
4,-5.0,5,0.98
5,-62.0,6,0.9
6,-65.0,5,0.64
7,-119.0,2,0.82
8,-126.0,10,0.9
9,-106.0,6,0.82
10,-90.0,2,0.9
11,-24.0,2,0.64
12,-65.0,4,0.58
13,-116.0,6,0.62
14,29.0,1,0.34
15,-69.0,5,0.66
16,-62.0,4,0.82
17,-96.0,5,0.74
18,-73.0,2,0.82
19,-41.0,2,0.84
20,-124.0,9,0.72
21,-41.0,3,0.68
22,-102.0,2,0.46
23,-100.0,5,0.66
24,-108.0,8,0.5
25,-70.0,3,0.84
26,-71.0,5,0.74
27,-72.0,8,0.58
28,-135.0,8,0.56
29,-86.0,4,0.48
30,-94.0,3,0.78
31,-43.0,6,0.5
32,-134.0,6,1.0
33,-81.0,5,0.76
34,-105.0,9,0.66
35,-151.0,4,0.5
36,-122.0,4,0.88
37,-84.0,7,0.74
38,-61.0,5,0.66
39,-50.0,2,0.52
40,-63.0,2,0.66
41,-95.0,4,0.44
42,-128.0,9,0.48
43,-90.0,4,0.72
44,-28.0,1,0.82
45,-88.0,4,0.42
46,-151.0,6,0.82
47,-93.0,4,0.62
48,-36.0,1,0.76
49,-122.0,8,0.86
50,-92.0,7,0.86
51,-64.0,3,0.6
52,-78.0,5,0.44
53,-80.0,3,0.72
54,-74.0,3,0.68
55,-71.0,8,0.8
56,-152.0,8,0.6
57,-110.0,7,0.8
58,-44.0,4,0.64
59,-32.0,3,0.44
60,-227.0,7,0.56
61,-88.0,3,0.6
62,-100.0,5,0.56
63,-223.0,8,0.92
64,-55.0,3,0.58
65,-135.0,4,0.76
66,-4.0,3,0.78
67,-101.0,3,0.82
68,-83.0,5,0.72
69,-42.0,3,0.62
70,-149.0,7,0.98
71,-69.0,4,0.5
72,-103.0,6,0.42
73,-187.0,6,0.74
74,-156.0,8,0.72
75,-181.0,5,0.8
76,-76.0,7,0.42
77,-69.0,5,0.68
78,-77.0,5,0.28
79,-79.0,3,0.84
80,-136.0,5,0.98
81,-48.0,5,0.56
82,-43.0,2,0.62
83,-89.0,8,0.9
