episode,total_reward,steps,emergency_rejections,mean_icu_utilisation,mean_general_utilisation,delayed_patients
0,-758.0,500,48,0.549,0.344,167
1,-895.0,500,51,0.459,0.3766666666666667,169
2,-777.0,500,51,0.442,0.302,173
3,-824.0,500,49,0.482,0.41000000000000003,158
4,-929.0,500,59,0.506,0.354,159
5,-856.0,500,42,0.512,0.30266666666666675,171
6,-872.0,500,51,0.452,0.33533333333333337,173
7,-951.0,500,53,0.481,0.36466666666666664,163
8,-731.0,500,48,0.469,0.302,152
9,-772.0,500,52,0.514,0.24933333333333338,177
10,-641.0,500,49,0.423,0.36400000000000005,166
11,-688.0,500,41,0.479,0.3613333333333334,159
12,-738.0,500,41,0.474,0.32466666666666666,152
13,-907.0,500,44,0.495,0.33533333333333337,156
14,-745.0,500,44,0.48,0.3106666666666667,175
15,-971.0,500,46,0.526,0.37,141
16,-968.0,500,45,0.493,0.41666666666666674,157
17,-764.0,500,45,0.421,0.2933333333333334,176
18,-679.0,500,45,0.444,0.3453333333333334,169
19,-830.0,500,45,0.445,0.4266666666666667,155
20,-767.0,500,36,0.553,0.342,152
21,-798.0,500,43,0.464,0.38,166
22,-1027.0,500,55,0.462,0.3693333333333333,167
23,-608.0,500,48,0.528,0.39533333333333337,172
24,-903.0,500,39,0.426,0.3806666666666667,147
25,-558.0,500,39,0.494,0.25866666666666677,167
26,-964.0,500,56,0.571,0.3573333333333334,149
27,-800.0,500,46,0.472,0.3726666666666667,174
28,-855.0,500,48,0.486,0.45733333333333337,165
29,-887.0,500,43,0.533,0.334,154
30,-709.0,500,41,0.493,0.39333333333333337,165
31,-854.0,500,50,0.481,0.32333333333333336,184
32,-802.0,500,53,0.571,0.2826666666666667,180
33,-660.0,500,38,0.404,0.36733333333333335,171
34,-792.0,500,50,0.519,0.3406666666666666,156
35,-648.0,500,38,0.542,0.32466666666666677,172
36,-890.0,500,50,0.54,0.35466666666666674,163
37,-711.0,500,49,0.449,0.35266666666666674,166
38,-795.0,500,45,0.472,0.312,157
39,-933.0,500,48,0.494,0.33666666666666667,153
40,-803.0,500,44,0.491,0.32200000000000006,163
41,-867.0,500,53,0.485,0.3593333333333334,172
42,-684.0,500,45,0.487,0.28266666666666673,178
43,-991.0,500,54,0.526,0.33666666666666667,173
44,-814.0,500,34,0.457,0.3146666666666667,176
45,-954.0,500,55,0.554,0.2773333333333334,173
46,-719.0,500,51,0.5,0.28400000000000003,174
47,-788.0,500,49,0.445,0.3553333333333334,181
48,-851.0,500,51,0.546,0.3666666666666667,147
49,-764.0,500,51,0.421,0.33066666666666666,174
50,-883.0,500,58,0.557,0.33866666666666667,162
51,-776.0,500,40,0.518,0.356,153
52,-958.0,500,47,0.525,0.38866666666666666,163
53,-876.0,500,48,0.572,0.27133333333333337,153
54,-950.0,500,39,0.527,0.3553333333333334,157
55,-950.0,500,42,0.428,0.4666666666666667,169
56,-585.0,500,43,0.502,0.3453333333333334,171
57,-705.0,500,47,0.486,0.30533333333333335,191
58,-811.0,500,41,0.452,0.2973333333333334,180
59,-812.0,500,50,0.484,0.286,165
60,-484.0,500,35,0.453,0.39266666666666666,179
61,-847.0,500,51,0.519,0.26000000000000006,167
62,-769.0,500,37,0.47,0.36266666666666675,165
63,-688.0,500,46,0.501,0.26,168
64,-938.0,500,53,0.544,0.3506666666666666,180
65,-806.0,500,45,0.482,0.344,165
66,-796.0,500,50,0.473,0.3566666666666667,170
67,-757.0,500,36,0.451,0.2953333333333334,172
68,-631.0,500,48,0.489,0.26466666666666666,174
69,-877.0,500,47,0.527,0.3746666666666667,163
70,-831.0,500,46,0.51,0.384,158
71,-925.0,500,51,0.443,0.4606666666666667,160
72,-977.0,500,46,0.476,0.314,175
73,-758.0,500,48,0.503,0.41400000000000003,146
74,-820.0,500,56,0.43,0.33533333333333337,167
75,-878.0,500,48,0.459,0.372,164
76,-872.0,500,48,0.512,0.32666666666666666,182
77,-805.0,500,43,0.567,0.2773333333333334,162
78,-608.0,500,41,0.515,0.37333333333333335,160
79,-694.0,500,48,0.508,0.3440000000000001,174
80,-655.0,500,39,0.435,0.30066666666666675,188
81,-631.0,500,43,0.473,0.354,175
82,-715.0,500,52,0.537,0.38533333333333336,182
83,-984.0,500,60,0.516,0.3926666666666667,176
84,-856.0,500,49,0.564,0.2846666666666667,179
85,-480.0,500,37,0.434,0.254,176
86,-990.0,500,40,0.534,0.37666666666666665,158
87,-644.0,500,44,0.5,0.37333333333333335,166
88,-1121.0,500,55,0.59,0.21800000000000003,160
89,-819.0,500,57,0.499,0.268,193
90,-770.0,500,39,0.53,0.4386666666666667,164
91,-830.0,500,45,0.459,0.37533333333333335,163
92,-787.0,500,43,0.476,0.32733333333333337,167
93,-806.0,500,41,0.434,0.32733333333333337,165
94,-583.0,500,33,0.51,0.31333333333333335,163
95,-637.0,500,37,0.511,0.4280000000000001,148
96,-811.0,500,53,0.577,0.31933333333333336,159
97,-960.0,500,50,0.504,0.3646666666666667,159
98,-437.0,500,37,0.423,0.36800000000000005,168
99,-989.0,500,51,0.537,0.384,163
